# energy mu normalized_energy pre_edge post_edge
8.588568999999999505e+03 4.271724000000000077e-01 8.588568999999999505e+03 4.289535175644274556e-01 3.433045916822458743e+00
8.588825999999999112e+03 4.269993000000000261e-01 8.588825999999999112e+03 4.289147927437162444e-01 3.432820069266125707e+00
8.589081000000000131e+03 4.270321000000000256e-01 8.589081000000000131e+03 4.288763692834769437e-01 3.432595979278323384e+00
8.589336999999999534e+03 4.270092999999999805e-01 8.589336999999999534e+03 4.288377951430020207e-01 3.432371010506256148e+00
8.590103999999999360e+03 4.269061000000000106e-01 8.590103999999999360e+03 4.287222234018126521e-01 3.431696982974320242e+00
8.592665999999999258e+03 4.265188999999999786e-01 8.592665999999999258e+03 4.283361806365881819e-01 3.429445537685114509e+00
8.595227000000000771e+03 4.261186000000000140e-01 8.595227000000000771e+03 4.279502885515995558e-01 3.427194971180173688e+00
8.597790000000000873e+03 4.256905999999999746e-01 8.597790000000000873e+03 4.275640951061387973e-01 3.424942647106701266e+00
8.600353999999999360e+03 4.253151000000000015e-01 8.600353999999999360e+03 4.271777509804421946e-01 3.422689444248964818e+00
8.600480999999999767e+03 4.253406000000000131e-01 8.600480999999999767e+03 4.271586145904406884e-01 3.422577838647197446e+00
8.600737999999999374e+03 4.252527999999999864e-01 8.600737999999999374e+03 4.271198897697292551e-01 3.422351991090864409e+00
8.600994000000000597e+03 4.251854999999999940e-01 8.600994000000000597e+03 4.270813156292538881e-01 3.422127022318795397e+00
8.601251000000000204e+03 4.252551999999999999e-01 8.601251000000000204e+03 4.270425908085424549e-01 3.421901174762462361e+00
8.601507999999999811e+03 4.251225000000000143e-01 8.601507999999999811e+03 4.270038659878312437e-01 3.421675327206129325e+00
8.601763999999999214e+03 4.251553000000000138e-01 8.601763999999999214e+03 4.269652918473560987e-01 3.421450358434062977e+00
8.602021000000000640e+03 4.250226999999999755e-01 8.602021000000000640e+03 4.269265670266444435e-01 3.421224510877728164e+00
8.602277000000000044e+03 4.250740000000000074e-01 8.602277000000000044e+03 4.268879928861692985e-01 3.420999542105661817e+00
8.602533999999999651e+03 4.249596999999999958e-01 8.602533999999999651e+03 4.268492680654578653e-01 3.420773694549328781e+00
8.602790000000000873e+03 4.249927000000000010e-01 8.602790000000000873e+03 4.268106939249824983e-01 3.420548725777259769e+00
8.603047000000000480e+03 4.248601000000000183e-01 8.603047000000000480e+03 4.267719691042710650e-01 3.420322878220926732e+00
